Key,Item Type,Publication Year,Author,Title,Url,Date,Tags
BSP5H3B6,journalArticle,2020,"Shew, Ashley","Ableism, Technoableism, and Future AI",https://doi.org/10.1109/MTS.2020.2967492,2020-03,ableism; Artificial intelligence; technoableism; History
NFIN7A5Q,journalArticle,2018,"Elwood, Sarah; Leszczynski, Agnieszka",Feminist Digital Geographies,https://doi.org/10.1080/0966369X.2018.1465396,2018-05-04,Feminism; Digital Geographies; Queer Theory
HSZXSFIE,webpage,2015,"Temporano, Victor",native-land.ca,https://native-land.ca/,2015,Decolonization; Mapping
IXSYQ6DL,journalArticle,2016,"Kelly, Meghan",Collectively Mapping Borders,https://cartographicperspectives.org/index.php/journal/article/view/cp84-kelly,2016-08-18,Mapping; Ethics
I78HBR6M,book,2012,"Sterne, Jonathan",MP3: The Meaning of a Format,,2012-07-17,Digital Media
2X4G56EP,book,1987,"K. Le Guin, Ursula",The Left Hand of Darkness,,1987-01-01,Feminism; Fiction; Science Fiction; Speculative Fiction
6GKS82SU,book,2020,"D'Ignazio, Catherine; Klein, Lauren F.",Data Feminism,,2020,Big data; Feminism; Feminism and science; Quantitative research
7KTKTXHH,journalArticle,2020,"Hanna, Alex; Park, Tina M.",Against Scale: Provocations and Resistances to Scale Thinking,http://arxiv.org/abs/2010.08850,2020-11-20,Computer Science
IPBXQGJF,presentation,1986,"Hamming, Richard",You and Your Research,https://www.cs.virginia.edu/~robins/YouAndYourResearch.html,1986-03-07,Lecture; Methodology; Education; Research
JM4SQAWJ,bookSection,1999,"Hayles, N. Katherine",Contesting for the Body of Information: The Macy Conferences on Cybernetics,,1999,Virtual Reality; Artificial intelligence; Cybernetics; Computer science
VDUU8GJU,journalArticle,2018,"Rodrik, Dani",Straight Talk on Trade: Ideas for a Sane World Economy,https://doi.org/10.1017/S1474745620000221,2018,Economy
6TDAUNF6,journalArticle,2020,"Nakamura, Lisa",Feeling good about feeling bad: virtuous virtual reality and the automation of racial empathy,https://doi.org/10.1177/1470412920906259,2020-04-01,Empathy; Virtual Reality; Digital Media; Race; Gender
7PFGPIYX,book,2018,"Wolf, Maryanne","Reader, come home: the reading brain in a digital world",,2018,Reading
RZ34BB2V,webpage,2006,"Hacking, Ian",Mad travelers: reflections on the reality of transient mental illnesses,https://mit.primo.exlibrisgroup.com/discovery/fulldisplay/alma990008853170106761/01MIT_INST:MIT,2006,Psychology; Social Psychiatry
W878ZZNE,book,1995,"Sebald, W. G.; Hulse, Michael",The Rings of Saturn,,1995,critical realism; Fiction; Memoir; Travel
BVD6E6M6,book,2020,"Daub, Adrian",What tech calls thinking: an inquiry into the intellectual bedrock of Silicon Valley,,2020,History; Technology; Information technology
FNLDJ9HT,journalArticle,2019,"Malazita, James; Resetar, Korryn",Infrastructures of abstraction: how computer science education produces anti-political subjects,https://doi.org/10.1080/14626268.2019.1682616,2019-10-31,Computer science education; education; critical pedagogy; feminism; computer science
YV9Z22TH,book,2020,"Scott, James C.",Seeing Like a State: How Certain Schemes to Improve the Human Condition Have Failed,,2020,Political Science; Sociology
ZALL6Q3L,bookSection,2019,"Phillips, Rasheedah",Organize Your Own Temporality: Notes on Self-Determined Temporalities and Radical Futurities,,2019,Media Studies; Political Science; Postcolonialism
VSH6ZCX9,journalArticle,2012,"Tuck, Eve; Yang, K. Wayne",Decolonization is not a metaphor,,2012,Decolonization; Postcolonialism; Settler Colonialism
ZECIB3QI,journalArticle,2019,"Hamraie, Aimi; Fritsch, Kelly",Crip Technoscience Manifesto,https://catalystjournal.org/index.php/catalyst/article/view/29607,2019-04-01,Accessibility; Activism; Critical Design; Disability
PJTQSHJM,book,1986,"K. Le Guin, Ursula",The Carrier Bag Theory of Fiction,https://www.shakespeareandsons.com/products/the-carrier-bag-theory-of-fiction,,Ecocriticism; Fiction; Speculative Fiction
QYP9LIGJ,webpage,2015,"Imarisha, Walidah",Rewriting the Future,https://truthout.org/articles/rewriting-the-future/,2015-03-07,
K4NG29PD,webpage,2017,"Greenfield, Adam",The Ideology Behind Technology,https://www.versobooks.com/blogs/3333-the-ideology-behind-technology,2017-08-03,
YF4CUFSP,journalArticle,2008,"Hartman, Saidiya",Venus in Two Acts,https://doi.org/10.1215/-12-2-1,2008-06-01,
9YBFEU4M,journalArticle,1995,"Morrison, Toni",The Site Of Memory,,1995,
DRT4LQT8,book,2021,"Mattern, Shannon",A City Is Not a Computer: Other Urban Intelligences,https://press.princeton.edu/books/paperback/9780691208053/a-city-is-not-a-computer,2021,
RBV5CCUJ,book,2018,"Sekula, Allan",Fish story,https://mackbooks.co.uk/products/fish-story-br-allan-sekula,2018,critical realism; exhibition catalog
3ASNXFE5,book,1980,"Papert, Seymour","Mindstorms: children, computers, and powerful ideas",,1980,
536NFLJL,journalArticle,1992,"Turkle, Sherry; Papert, Seymour",Epistemological Pluralism and the Revaluation of the Concrete,,1992-03,Education; computer science education
